,Time,1
S/N,,359558
Type,,TGP-4017
Description,,FROST-2-0
Property,,Temperature
1,2010-07-02 13:30:09,19.463
2,2010-07-02 13:31:09,20.004
3,2010-07-02 13:32:09,19.909
4,2010-07-02 13:33:09,19.827
5,2010-07-02 13:34:09,19.754
6,2010-07-02 13:35:09,19.741
7,2010-07-02 13:36:09,19.862
8,2010-07-02 13:37:09,19.768
9,2010-07-02 13:38:09,19.706
10,2010-07-02 13:39:09,19.659
11,2010-07-02 13:40:09,19.626
12,2010-07-02 13:41:09,19.602
13,2010-07-02 13:42:09,19.583
14,2010-07-02 13:43:09,19.567
